Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,BsmtFin SF 1,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Cars,Garage Area,Foundation_PConc,BsmtFin Type 1_GLQ,Total Bathrooms
1.357883,1.1801845,1.0913508,-0.11466854,1.0428215,0.57868356,-0.9990463,1.238354,0.88870007,1.0974042,0.15254496,0.74094486,0.36116737,0.6224172,1.2371209,1.623124,1.1681597,True,False,-0.2680664
-0.7758984,-0.043630596,-0.6829605,1.1537583,-0.68654877,-0.52837974,-0.9990463,-0.98732257,-1.1989605,-1.3929093,-0.39430395,-0.77037615,-0.27991018,-0.92542917,-0.9799633,0.30854627,-0.1493246,False,False,0.35317695
0.6466225,1.0148041,0.85157895,-0.56767815,1.0428215,0.57868356,0.5944683,-0.3108683,0.88870007,-0.6254375,0.7420847,0.74094486,1.002245,-0.92542917,-0.9799633,0.30854627,0.09361578,True,True,1.5956637
0.6466225,1.1140324,0.99544203,-0.56767815,-0.68654877,0.57868356,-0.9990463,-1.0582794,0.88870007,-1.6840192,-0.6016593,0.74094486,-1.5620652,-0.92542917,-0.9799633,0.30854627,0.037552617,True,False,0.35317695
-0.06463795,1.1140324,0.99544203,-0.56767815,-0.68654877,0.57868356,-0.9990463,-0.75553054,0.88870007,-1.1335567,-0.08123803,0.74094486,1.002245,-0.92542917,-0.9799633,0.30854627,-0.33620182,True,False,0.35317695
0.6466225,1.0809562,0.94748765,-0.56767815,1.0428215,0.57868356,-0.4549749,-1.1741754,0.88870007,-1.6019791,-0.80088305,0.74094486,-1.5620652,-0.92542917,-0.9799633,0.30854627,0.037552617,True,True,0.35317695
-0.7758984,-1.0689892,-1.6420476,-0.56767815,-0.68654877,0.57868356,0.15511355,-0.60179096,-1.1989605,-0.96153724,-0.76835674,-0.77037615,-0.9209877,0.6224172,1.2371209,0.30854627,-0.2894825,False,False,-0.2680664
-0.7758984,-1.7305108,0.99544203,-0.56767815,-0.68654877,-0.52837974,-0.9990463,-0.60179096,-1.1989605,-0.42166054,0.042768594,-2.281697,0.36116737,-0.92542917,-0.9799633,-2.3206093,-2.204974,False,False,-0.2680664
1.357883,0.88249975,0.65976155,2.1107411,1.0428215,0.57868356,1.2455328,0.9994663,-0.15513024,0.83011234,2.3053813,0.74094486,1.002245,0.6224172,0.68284976,1.623124,1.0466896,True,True,1.5956637
0.6466225,1.2132605,1.1872594,0.22508866,1.0428215,0.57868356,-0.9990463,0.9521618,0.88870007,0.77718323,-0.09343541,0.74094486,-0.27991018,-0.92542917,-0.9799633,1.623124,1.4765072,True,False,-0.2680664
1.357883,0.8163476,0.5638528,-0.56767815,1.0428215,0.57868356,0.7902429,0.50276905,0.88870007,0.34845763,-0.42276448,2.252266,-1.5620652,2.1702635,1.2371209,0.30854627,0.13099122,True,True,0.35317695
0.6466225,-0.605924,-1.4981846,-0.56767815,1.0428215,-0.52837974,0.3736527,0.60683894,-1.1989605,0.39080092,1.6080981,-0.77037615,0.36116737,0.6224172,0.68284976,0.30854627,0.9112036,False,False,-0.2680664
-0.7758984,-0.14285885,-0.8268236,0.3496663,-0.68654877,0.57868356,1.1317103,-0.26356378,-0.15513024,-0.58309424,-1.1383437,-0.77037615,-1.5620652,0.6224172,0.12857877,-1.0060315,-0.4109527,False,False,-0.2680664
-0.7758984,-0.4405436,0.32408103,-0.08635544,-0.68654877,-0.52837974,0.2917005,-0.0932676,-1.1989605,-0.2734591,-0.90049493,2.252266,-0.27991018,-0.92542917,-0.9799633,0.30854627,1.2989738,False,False,-0.2680664
1.357883,0.28713024,-0.20341691,-0.56767815,1.0428215,0.57868356,0.83804834,0.42235142,-1.1989605,0.18437748,-0.548804,0.74094486,-1.5620652,0.6224172,0.12857877,0.30854627,0.05624034,False,True,-0.2680664
-0.7758984,-0.10978276,-0.7788692,-0.56767815,-0.68654877,-0.52837974,0.69463205,-0.3203292,-1.1989605,-0.29727718,-0.918791,-0.77037615,-0.9209877,0.6224172,0.12857877,0.30854627,-0.46701586,False,False,-0.2680664
-0.06463795,-1.5982065,-1.6420476,-0.56767815,-0.68654877,-0.52837974,-0.9990463,0.36085558,-1.1989605,0.11556967,-0.6016593,-0.77037615,0.36116737,-0.92542917,-0.9799633,-1.0060315,-0.7473317,False,False,-1.5105531
-2.1984193,-0.8705327,-1.6420476,-0.56767815,-0.68654877,-3.8495696,-0.9990463,-2.4774141,-1.1989605,-1.1309103,-1.5591531,-0.77037615,-0.9209877,-0.92542917,-0.9799633,-2.3206093,-2.204974,False,False,-1.5105531
0.6466225,0.7501954,0.51589847,-0.56767815,1.0428215,0.57868356,0.4624342,-0.3132335,0.88870007,-0.59103364,0.83763075,0.74094486,1.002245,0.6224172,0.68284976,0.30854627,0.09828771,True,True,1.5956637
1.357883,0.981728,0.85157895,0.44026822,1.0428215,0.57868356,-0.9990463,1.6688249,0.88870007,1.6690383,0.59165037,0.74094486,0.36116737,0.6224172,0.68284976,1.623124,1.2896299,True,False,-0.2680664
-0.7758984,-1.0359131,-1.6420476,-0.56767815,-0.68654877,0.57868356,0.37137625,-0.34634665,-1.1989605,-0.0829144,0.4493477,-0.77037615,0.36116737,0.6224172,1.2371209,-1.0060315,-0.2894825,False,False,-0.88930976
-0.7758984,-0.14285885,0.94748765,-0.06370496,-0.68654877,-0.52837974,0.02535593,-0.43385997,0.88870007,-0.68101305,-1.2135608,0.74094486,-0.9209877,-0.92542917,-0.9799633,-1.0060315,-0.859458,True,False,-1.5105531
1.357883,1.0809562,0.99544203,0.7800254,1.0428215,1.6857469,2.4861977,1.7374164,0.88870007,1.6558061,0.5814859,0.74094486,0.36116737,2.1702635,1.2371209,1.623124,2.149265,True,True,0.9744203
1.357883,1.1140324,0.99544203,-0.56767815,1.0428215,0.57868356,1.3661846,0.47202113,0.88870007,0.23995303,-0.50611323,0.74094486,-1.5620652,0.6224172,1.2371209,0.30854627,0.36458775,True,True,0.35317695
-0.7758984,-0.50669575,-1.3543215,-0.56767815,-0.68654877,-0.52837974,0.68324983,0.22840299,-1.1989605,-0.032631766,-0.7155014,-0.77037615,-0.27991018,-0.92542917,-0.9799633,-1.0060315,0.57949656,False,False,-0.2680664
